game_id,quarter,team_slot,team_name,action_type,sub_type,success,scoring,player,pno,clock,s1,s2,lead,fga,fgm,two_pa,two_pm,three_pa,three_pm,fta,ftm
2798717,4,1,Edmonton Stingers,substitution,out,1,0,M. Bourcier,1,07:59:00,53,59,-6,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,foulon,,1,0,T. Allen,3,07:59:00,53,59,-6,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,foul,personal,1,0,M. Bourcier,1,07:59:00,53,59,-6,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,rebound,defensive,1,0,E. Akot,6,08:02:00,53,59,-6,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,3pt,jumpshot,0,1,T. Donald,7,08:05:00,53,59,-6,1,0,0,0,1,0,0,0
2798717,4,2,Winnipeg Sea Bears,2pt,layup,1,1,T. Allen,3,08:18:00,53,59,-6,1,1,1,1,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,rebound,defensive,1,0,T. Allen,3,08:24:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,3pt,jumpshot,0,1,S. Teel,12,08:27:00,53,57,-4,1,0,0,0,1,0,0,0
2798717,4,2,Winnipeg Sea Bears,substitution,in,1,0,J. Tilmon Jr.,2,08:39:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,substitution,in,1,0,D. Walker,5,08:39:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,substitution,out,1,0,D. Warren,9,08:39:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,substitution,out,1,0,S. Hildebrandt,4,08:39:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,in,1,0,D. Dainja,14,08:39:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,in,1,0,M. Bourcier,1,08:39:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,out,1,0,E. Bandoumel,6,08:39:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,in,1,0,T. Donald,7,08:39:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,out,1,0,T. King,10,08:39:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,out,1,0,A. Mohamed,2,08:39:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,rebound,defensive,1,0,,0,08:39:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,3pt,jumpshot,0,1,D. Warren,9,08:41:00,53,57,-4,1,0,0,0,1,0,0,0
2798717,4,1,Edmonton Stingers,assist,,1,0,A. Mohamed,2,09:05:00,53,57,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,2pt,layup,1,1,A. Toney,11,09:05:00,53,57,-4,1,1,1,1,0,0,0,0
2798717,4,1,Edmonton Stingers,rebound,offensive,1,0,,0,09:07:00,51,57,-6,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,3pt,jumpshot,0,1,S. Teel,12,09:08:00,51,57,-6,1,0,0,0,1,0,0,0
2798717,4,2,Winnipeg Sea Bears,assist,,1,0,E. Akot,6,09:16:00,51,57,-6,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,2pt,drivinglayup,1,1,D. Warren,9,09:16:00,51,57,-6,1,1,1,1,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,rebound,defensive,1,0,E. Akot,6,09:18:00,51,55,-4,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,block,,1,0,E. Akot,6,09:21:00,51,55,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,2pt,layup,0,1,A. Mohamed,2,09:21:00,51,55,-4,1,0,1,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,assist,,1,0,E. Akot,6,09:37:00,51,55,-4,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,3pt,jumpshot,1,1,T. Allen,3,09:37:00,51,55,-4,1,1,0,0,1,1,0,0
2798717,4,2,Winnipeg Sea Bears,rebound,offensive,1,0,E. Akot,6,09:39:00,51,52,-1,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,3pt,jumpshot,0,1,A. Chaney,13,09:41:00,51,52,-1,1,0,0,0,1,0,0,0
2798717,4,2,Winnipeg Sea Bears,substitution,out,1,0,M. Kraus,11,10:00:00,51,52,-1,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,substitution,in,1,0,A. Chaney,13,10:00:00,51,52,-1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,in,1,0,A. Toney,11,10:00:00,51,52,-1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,in,1,0,T. King,10,10:00:00,51,52,-1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,out,1,0,A. Rhooms,3,10:00:00,51,52,-1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,out,1,0,I. Jack,13,10:00:00,51,52,-1,0,0,0,0,0,0,0,0
