gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName
07:59,07:59:00,53,59,-6,1,4,REGULAR,1,M. Bourcier,1,substitution,675,,[],out,0,13,Mason,Bourcier,Mason,Bourcier,M,B,M,B,M. Bourcier
07:59,07:59:00,53,59,-6,2,4,REGULAR,3,T. Allen,1,foulon,673,672,[],,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
07:59,07:59:00,53,59,-6,1,4,REGULAR,1,M. Bourcier,1,foul,672,,"['shooting', '2freethrow']",personal,0,13,Mason,Bourcier,Mason,Bourcier,M,B,M,B,M. Bourcier
08:02,08:02:00,53,59,-6,2,4,REGULAR,6,E. Akot,1,rebound,669,668,[],defensive,0,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
08:05,08:05:00,53,59,-6,1,4,REGULAR,7,T. Donald,0,3pt,668,,[],jumpshot,1,3,Taye,Donald,Taye,Donald,T,D,T,D,T. Donald
08:18,08:18:00,53,59,-6,2,4,REGULAR,3,T. Allen,1,2pt,667,,"['pointsinthepaint', 'fastbreak']",layup,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
08:24,08:24:00,53,57,-4,2,4,REGULAR,3,T. Allen,1,rebound,666,665,[],defensive,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
08:27,08:27:00,53,57,-4,1,4,REGULAR,12,S. Teel,0,3pt,665,,[],jumpshot,1,2,Samage,Teel,Samage,Teel,S,T,S,T,S. Teel
08:39,08:39:00,53,57,-4,2,4,REGULAR,2,J. Tilmon Jr.,1,substitution,663,,[],in,0,35,Jeremiah,Tilmon Jr.,Jeremiah,Tilmon Jr.,J,T,J,T,J. Tilmon Jr.
08:39,08:39:00,53,57,-4,2,4,REGULAR,5,D. Walker,1,substitution,662,,[],in,0,1,David,Walker,David,Walker,D,W,D,W,D. Walker
08:39,08:39:00,53,57,-4,2,4,REGULAR,9,D. Warren,1,substitution,660,,[],out,0,3,Davion,Warren,Davion,Warren,D,W,D,W,D. Warren
08:39,08:39:00,53,57,-4,2,4,REGULAR,4,S. Hildebrandt,1,substitution,661,,[],out,0,15,Simon,Hildebrandt,Simon,Hildebrandt,S,H,S,H,S. Hildebrandt
08:39,08:39:00,53,57,-4,1,4,REGULAR,14,D. Dainja,1,substitution,659,,[],in,0,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
08:39,08:39:00,53,57,-4,1,4,REGULAR,1,M. Bourcier,1,substitution,658,,[],in,0,13,Mason,Bourcier,Mason,Bourcier,M,B,M,B,M. Bourcier
08:39,08:39:00,53,57,-4,1,4,REGULAR,6,E. Bandoumel,1,substitution,656,,[],out,0,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
08:39,08:39:00,53,57,-4,1,4,REGULAR,7,T. Donald,1,substitution,657,,[],in,0,3,Taye,Donald,Taye,Donald,T,D,T,D,T. Donald
08:39,08:39:00,53,57,-4,1,4,REGULAR,10,T. King,1,substitution,654,,[],out,0,0,Tre,King,Tre,King,T,K,T,K,T. King
08:39,08:39:00,53,57,-4,1,4,REGULAR,2,A. Mohamed,1,substitution,655,,[],out,0,7,Abdul,Mohamed,Abdul,Mohamed,A,M,A,M,A. Mohamed
08:39,08:39:00,53,57,-4,1,4,REGULAR,0,,1,rebound,653,651,['team'],defensive,0,,,,,,,,,,
08:41,08:41:00,53,57,-4,2,4,REGULAR,9,D. Warren,0,3pt,651,,[],jumpshot,1,3,Davion,Warren,Davion,Warren,D,W,D,W,D. Warren
09:05,09:05:00,53,57,-4,1,4,REGULAR,2,A. Mohamed,1,assist,650,649,[],,0,7,Abdul,Mohamed,Abdul,Mohamed,A,M,A,M,A. Mohamed
