game_id,game_date,game_number,team_name,opponent_name,actual_opponent_team,opponent_payroll_faced,opponent_active_players,opponent_players_with_salary,opponent_players_missing_salary,opponent_payroll_complete,league_average_payroll,difference_vs_average,pct_of_league_average
2798724,2026-05-15T23:30:00Z,2,Ottawa BlackJacks,Brampton Honey Badgers,Brampton Honey Badgers,9400.0,10,9,1,False,11772.152916666668,-2372.152916666668,0.7984945546104618
2798732,2026-05-18T23:00:00Z,3,Ottawa BlackJacks,Niagara River Lions,Niagara River Lions,14050.0,11,11,0,True,11772.152916666668,2277.847083333332,1.1934945204549987
2798721,2026-05-21T23:30:00Z,4,Ottawa BlackJacks,Brampton Honey Badgers,Brampton Honey Badgers,9900.0,10,10,0,True,11772.152916666668,-1872.1529166666678,0.8409676692174013
2798726,2026-05-23T23:00:00Z,5,Ottawa BlackJacks,Montreal Alliance,Montréal Alliance,11100.0,10,9,1,False,11772.152916666668,-672.1529166666678,0.942903144274056
2798747,2026-05-31T20:00:00Z,6,Ottawa BlackJacks,Montreal Alliance,Montréal Alliance,10900.0,10,10,0,True,11772.152916666668,-872.1529166666678,0.9259138984312802
2798752,2026-06-02T23:30:00Z,7,Ottawa BlackJacks,Vancouver Bandits,Vancouver Bandits,13159.34,9,9,0,True,11772.152916666668,1387.1870833333323,1.1178363119433654
2798739,2026-06-04T23:30:00Z,8,Ottawa BlackJacks,Winnipeg Sea Bears,Winnipeg Sea Bears,10787.08,10,10,0,True,11772.152916666668,-985.0729166666679,0.916321770228449
2798761,2026-06-14T01:00:00Z,9,Ottawa BlackJacks,Vancouver Bandits,Vancouver Bandits,10485.83,8,8,0,True,11772.152916666668,-1286.3229166666679,0.890731718677768
2798768,2026-06-16T01:30:00Z,10,Ottawa BlackJacks,Saskatoon Mamba,Saskatoon Mamba,11601.0,10,10,0,True,11772.152916666668,-171.1529166666678,0.9854612051102093
2798762,2026-06-19T23:30:00Z,11,Ottawa BlackJacks,Scarborough Shooting Stars,Scarborough Shooting Stars,10800.0,8,8,0,True,11772.152916666668,-972.1529166666678,0.9174192755098923
2798771,2026-06-21T23:00:00Z,12,Ottawa BlackJacks,Saskatoon Mamba,Saskatoon Mamba,11951.0,10,10,0,True,11772.152916666668,178.8470833333322,1.0151923853350668
2798773,2026-06-23T23:30:00Z,13,Ottawa BlackJacks,Scarborough Shooting Stars,Scarborough Shooting Stars,11250.0,10,10,0,True,11772.152916666668,-522.1529166666678,0.9556450786561378
2798779,2026-06-28T17:00:00Z,14,Ottawa BlackJacks,Niagara River Lions,Niagara River Lions,13768.75,10,9,1,False,11772.152916666668,1996.5970833333322,1.1696033934885954
2798784,2026-07-02T23:30:00Z,15,Ottawa BlackJacks,Brampton Honey Badgers,Brampton Honey Badgers,10116.67,10,10,0,True,11772.152916666668,-1655.4829166666677,0.8593729687011724
2798790,2026-07-04T23:00:00Z,16,Ottawa BlackJacks,Niagara River Lions,Niagara River Lions,13268.75,11,10,1,False,11772.152916666668,1496.5970833333322,1.127130278881656
